date,spy,qqq,dbc,agg,gld,cash
2007-10-10,0.16666476,0.16666476,0.16666476,0.16667335,0.16666476,0.16666767
2007-10-11,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-12,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-15,0.1666545,0.1666545,0.1666545,0.16670896,0.1666545,0.16667305
2007-10-16,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-17,0.16666625,0.16666625,0.16666625,0.16666809,0.16666625,0.16666688
2007-10-18,0.16666648,0.16666648,0.16666648,0.1666673,0.16666648,0.16666676
2007-10-19,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-22,0.3749973,0.12500024,0.12500024,0.1250013,0.12500024,0.12500076
2007-10-23,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-10-24,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-10-25,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-10-26,0.09090912,0.09090912,0.09090912,0.09090917,0.5454544,0.090909146
2007-10-29,0.09090924,0.09090924,0.09090924,0.09090941,0.54545355,0.090909295
2007-10-30,0.37499875,0.1250001,0.1250001,0.12500063,0.1250001,0.12500037
2007-10-31,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-01,0.37499332,0.12500055,0.12500055,0.12500314,0.12500055,0.12500185
2007-11-02,0.09095725,0.09095725,0.09095725,0.09100713,0.54514694,0.09097425
2007-11-05,0.37498888,0.12500094,0.12500094,0.12500525,0.12500094,0.12500308
2007-11-06,0.37498218,0.12500149,0.12500149,0.12500837,0.12500149,0.12500493
2007-11-07,0.16665706,0.16665706,0.16665706,0.16670002,0.16665706,0.1666717
2007-11-08,0.0910817,0.0910817,0.0910817,0.09126101,0.54435116,0.09114276
2007-11-09,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-11-12,0.16666657,0.16666657,0.16666657,0.16666704,0.16666657,0.16666673
2007-11-13,0.09091237,0.09091237,0.09091237,0.09091576,0.54543364,0.09091353
2007-11-14,0.37499574,0.12500036,0.12500036,0.12500201,0.12500036,0.12500118
2007-11-15,0.09092284,0.09092284,0.09092284,0.09093709,0.5453667,0.09092769
2007-11-16,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-11-19,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-11-20,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-11-21,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667,0.16666667
2007-11-23,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-26,0.090909116,0.090909116,0.090909116,0.09090913,0.54545444,0.09090913
2007-11-27,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-28,0.09090928,0.09090928,0.09090928,0.09090947,0.54545337,0.090909354
2007-11-29,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2007-11-30,0.16666235,0.16666235,0.16666235,0.16668166,0.16666235,0.16666892
2007-12-03,0.16662599,0.16662599,0.16662599,0.16680804,0.16662599,0.16668802
2007-12-04,0.09155265,0.09155266,0.09155265,0.09222718,0.5413329,0.091781974
2007-12-05,0.11111127,0.44444332,0.11111127,0.111111544,0.11111127,0.11111136
2007-12-06,0.16657093,0.16657093,0.16657093,0.16699943,0.16657093,0.16671684
2007-12-07,0.11111124,0.4444434,0.11111124,0.111111484,0.11111124,0.11111131
2007-12-10,0.111111164,0.44444412,0.111111164,0.11111124,0.111111164,0.11111119
2007-12-11,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-12-12,0.16666149,0.16666149,0.16666149,0.16668467,0.16666149,0.16666938
2007-12-13,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2007-12-14,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-12-17,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-12-18,0.37500003,0.125,0.125,0.125,0.125,0.125
2007-12-19,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-12-20,0.37499997,0.125,0.125,0.12500001,0.125,0.125
2007-12-21,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-12-24,0.16666663,0.16666663,0.16666663,0.16666688,0.16666663,0.1666667
2007-12-26,0.37499997,0.12500001,0.12500001,0.12500004,0.12500001,0.12500003
2007-12-27,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2007-12-28,0.16666621,0.16666621,0.16666621,0.16666831,0.16666621,0.16666692
2007-12-31,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-01-02,0.16665395,0.16665395,0.16665395,0.16671084,0.16665395,0.16667333
2008-01-03,0.09091081,0.09091081,0.09091081,0.0909126,0.5454436,0.09091142
2008-01-04,0.09091168,0.09091168,0.09091168,0.09091437,0.54543793,0.09091261
2008-01-07,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-01-08,0.09091542,0.09091542,0.09091542,0.090921976,0.54541415,0.090917654
2008-01-09,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-01-10,0.0909198,0.0909198,0.0909198,0.090930894,0.5453861,0.09092358
2008-01-11,0.37499946,0.12500004,0.12500004,0.12500024,0.12500004,0.12500015
2008-01-14,0.09091116,0.09091116,0.09091116,0.0909133,0.5454413,0.09091188
2008-01-15,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-01-16,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-01-17,0.090909116,0.090909116,0.090909116,0.09090913,0.54545444,0.09090913
2008-01-18,0.16666666,0.16666666,0.16666666,0.1666667,0.16666666,0.16666667
2008-01-22,0.16666666,0.16666666,0.16666666,0.16666669,0.16666666,0.16666667
2008-01-23,0.09090909,0.09090909,0.09090909,0.090909116,0.54545444,0.09090909
2008-01-24,0.37500003,0.125,0.125,0.125,0.125,0.125
2008-01-25,0.09090941,0.09090941,0.09090941,0.090909734,0.5454525,0.09090951
2008-01-28,0.37500003,0.125,0.125,0.125,0.125,0.125
2008-01-29,0.16666561,0.16666561,0.16666561,0.16667026,0.16666561,0.1666672
2008-01-30,0.1666608,0.1666608,0.1666608,0.16668704,0.1666608,0.16666976
2008-01-31,0.091231644,0.09123165,0.091231644,0.09156765,0.5433914,0.09134602
2008-02-01,0.092194244,0.09219427,0.092194244,0.09355791,0.53720254,0.09265673
2008-02-04,0.37499374,0.12500052,0.12500052,0.12500292,0.12500052,0.12500173
2008-02-05,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-02-06,0.09633146,0.096331574,0.09633146,0.10256759,0.5100249,0.09841292
2008-02-07,0.3749874,0.12500106,0.12500106,0.12500596,0.12500106,0.12500352
2008-02-08,0.37499815,0.12500015,0.12500015,0.12500083,0.12500015,0.12500049
2008-02-11,0.16665924,0.16665924,0.16665924,0.16669248,0.16665924,0.16667056
2008-02-12,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-02-13,0.16666625,0.16666625,0.16666625,0.1666681,0.16666625,0.1666669
2008-02-14,0.16666652,0.16666652,0.16666652,0.16666716,0.16666652,0.16666673
2008-02-15,0.09090909,0.09090909,0.09090909,0.090909116,0.54545444,0.09090909
2008-02-19,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-02-20,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-02-21,0.37500003,0.125,0.125,0.125,0.125,0.125
2008-02-22,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-02-25,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2008-02-26,0.090909086,0.090909086,0.090909086,0.090909086,0.54545456,0.090909086
2008-02-27,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-02-28,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-02-29,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-03-03,0.37447476,0.12504405,0.12504405,0.1252474,0.12504409,0.12514572
2008-03-04,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-03-05,0.37378317,0.1251018,0.12510179,0.12557372,0.12510191,0.12533763
2008-03-06,0.09099746,0.09099746,0.09099746,0.0910891,0.5448898,0.09102868
2008-03-07,0.16666053,0.16666053,0.16666053,0.16668797,0.16666053,0.16666989
2008-03-10,0.11111111,0.44444445,0.11111111,0.11111111,0.11111111,0.11111111
2008-03-11,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-03-12,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-03-13,0.16666637,0.16666637,0.16666637,0.16666767,0.16666637,0.1666668
2008-03-14,0.16666657,0.16666657,0.16666657,0.16666697,0.16666657,0.16666672
2008-03-17,0.16666664,0.16666664,0.16666664,0.16666676,0.16666664,0.16666669
2008-03-18,0.09090912,0.09090912,0.09090912,0.090909146,0.5454544,0.09090912
2008-03-19,0.15727551,0.15727882,0.15727651,0.15727551,0.15727551,0.21361808
2008-03-20,0.09090912,0.09090912,0.09090912,0.090909176,0.5454544,0.090909146
