,daily_return,total assets
0,0.0,100000.0
1,1.2429644280620646,224296.44280620647
2,0.43915426425747345,322797.18212233455
3,1.1808875665438332,703984.3610059847
4,0.6156790860557686,1137412.8089877036
5,1.7850326870898674,3167731.8517454583
6,0.6474617166068689,5218716.954226828
7,0.5404737214555907,8039296.327701188
8,0.5548343955290931,12499774.446160534
9,1.155831945859007,26947413.067064956
10,0.6158158741660713,43542057.801473774
11,0.08420464811312346,47208501.456768155
12,0.7884389459057743,84429522.58313365
13,0.3086833377542846,110491509.4190961
14,1.0158649000980755,222735955.5968117
15,0.7790594501186587,396260506.6857178
16,1.7472088703289939,1088610378.9280655
17,0.35158394106570245,1471348306.2366226
18,0.7820174295260366,2621968326.617274
19,0.5923436999628535,4175074746.3911614
20,1.235455521009507,9333193892.447489
21,0.6380130889346821,15287893757.39422
22,0.039058543805389805,15885016625.409548
23,1.0875461078311155,33160704629.206264
24,1.4686811995171345,81863208080.86232
25,0.8090909792369697,148097991270.48703
26,0.3292119819375049,196853624497.60736
27,0.46076547931009937,287556979143.17773
28,0.41202431349614993,406037446065.67224
29,0.38077338602882155,560645699258.5933
30,0.5452779483148604,866353435881.8693
31,1.656310511427292,2301303738344.1597
32,0.22412101571751292,2817074269656.3623
33,0.8496395504432814,5210571985692.529
34,0.5434379578070623,8042194584603.967
35,1.232241155635666,17952117733383.254
36,0.9096557501435496,34282364856809.316
37,0.6368508903867582,56115119440432.04
38,0.3303979728357037,74655441148984.17
39,0.6545285701619377,123519560299037.47
40,0.7237448533065514,212916206348154.06
41,1.920676250230487,621859307170227.2
42,0.49127400716577607,927362620897078.0
43,0.5876416449483901,1472319516904687.2
44,0.4615162875217127,2151818954392300.0
45,1.7458525455981164,5908577553584374.0
46,0.6230422828774878,9589871201128264.0
47,0.3719600036072713,1.31569197276932e+16
48,0.6729961909574672,2.201147658916388e+16
49,0.8022423643069148,3.9670015609941016e+16
50,0.44037897023409434,5.713985623341729e+16
51,0.7400135228130987,9.942412253774242e+16
52,0.28384020823304323,1.2764468618224283e+17
53,1.4056414327927147,3.070673457558271e+17
54,0.03644050411860541,3.182570346335315e+17
55,0.29849494094882123,4.1325514939301446e+17
56,1.4749203066252357,1.022773561050217e+18
57,0.37716192569847856,1.4085248068894072e+18
58,0.5443615018493594,2.175271486159804e+18
59,0.4855845632811012,3.2315497407845443e+18
60,0.6790243853300167,5.425850817184144e+18
61,0.2960284070629525,7.032056791556386e+18
62,0.737640510097838,1.2219186750317005e+19
63,0.9536023302219193,2.3871431708836102e+19
64,0.2309426286249749,2.938436289671629e+19
65,1.7117773759468438,7.968385050992709e+19
66,0.7008170205017037,1.3552764920639735e+20
67,1.1164853083676534,2.8684227842294507e+20
68,0.8853957685294671,5.408112179739719e+20
69,1.5173966073113399,1.3614363253235903e+21
70,0.9656102525650071,2.6760531992704776e+21
71,0.7433114503646782,4.665194184073253e+21
72,0.5082739432993627,7.036390828269419e+21
73,1.973063252073272,2.091963499875322e+22
74,0.4100468345642118,2.9497665110230677e+22
75,0.7592709335247526,5.189438483527605e+22
76,0.8410854770785077,9.554199826214988e+22
77,1.406324082561906,2.2990501131429903e+23
78,0.5868211372834462,3.6481813152091956e+23
79,0.6388250472763569,5.978730916370432e+23
80,0.580598537581198,9.4499733430066e+23
81,0.20122308183526558,1.1351526102347496e+24
82,0.6479192416164208,1.870639828576949e+24
83,0.2704412474527641,2.3765379973521239e+24
84,0.0029352031528152335,2.383513619174737e+24
85,1.5286050614529576,6.026964601487297e+24
86,1.5316861211510804,1.5258382634254242e+25
87,1.6983482713176916,4.117243040424382e+25
88,2.1125008838165544,1.2814922602208446e+26
89,1.353523424118989,3.0160220522569448e+26
90,0.7576700181112168,5.3011715352142935e+26
91,1.8073972043406668,1.4882494147690928e+27
92,0.34850138482432985,2.00690639678012e+27
93,0.08137543042461387,2.1702192686400132e+27
94,1.8830073279753206,6.256758054802398e+27
95,0.5461632020578662,9.673969068514623e+27
96,0.7064363677562797,1.6508012639062693e+28
97,1.354312309992155,3.886501736965138e+28
98,0.34013978173481196,5.208455589488427e+28
99,0.4917226641679606,7.769571248152183e+28
100,1.4599848104425952,1.9113027254105883e+29
101,0.4110717089910559,2.6969852031443817e+29
102,0.26492599749168705,3.411486698307727e+29
103,0.29962551160504763,4.433655145621995e+29
104,0.1466533376354427,5.083865470652015e+29
105,0.6726730843508594,8.503644937220339e+29
106,0.5126441034621645,1.2862988372222234e+30
107,1.2290411935412626,2.867213095372563e+30
108,0.9555293794702867,5.606919445202988e+30
109,0.08123256019144037,6.062383866523997e+30
110,1.334112586943136,1.415028648973466e+31
111,0.26307908793676776,1.787293095349802e+31
112,0.5798900623170153,2.82372659979097e+31
113,0.5585664406694171,4.4009655160597675e+31
114,0.014986754511580377,4.466921705862886e+31
115,0.5564127077628009,6.952373707586484e+31
116,1.8498476206427756,1.9813205668384734e+32
117,0.016665328731036228,2.0143399254063996e+32
118,0.2810590709631357,2.5804884334450743e+32
119,0.9089905030007146,4.9261279125498386e+32
120,2.3453138084988203,1.6479443728284445e+33
121,0.47488153087371326,2.4305227193919375e+33
122,1.9600794241138493,7.194540291513313e+33
123,0.4876013660938023,1.0702607966072108e+34
124,1.0282128685411194,2.1707167203738146e+34
125,0.9990214296437636,4.339309241713285e+34
126,0.6983796089090836,7.36979433287658e+34
127,2.1796482601695746,2.343335372833861e+35
128,0.46826693438246647,3.440641844100767e+35
129,0.7374341786544233,5.977888736449257e+35
130,1.0166403283512864,1.2055251504320486e+36
131,1.225433153731165,2.682815637428231e+36
132,0.7290595266712713,4.638747936197942e+36
133,0.7191585118001113,7.974742998609891e+36
134,0.44190324651389024,1.1498807819809518e+37
135,0.6701714980760597,1.9204981082499974e+37
136,1.311077372137273,4.438419721209008e+37
137,0.7828069577179847,7.912845560244137e+37
138,0.9378382155244787,1.5333814520184292e+38
139,1.00685253394229,3.077270452483293e+38
140,0.45840453990440955,4.487905198415331e+38
141,1.788862045851341,1.2516148473239447e+39
142,1.1628438676888186,2.7070474972428707e+39
143,0.3429184524108711,3.6353440356001177e+39
144,0.6665892569166206,6.058625314927069e+39
145,0.722762739110194,1.0437573942786119e+40
146,0.6392257788888426,1.7109540276073464e+40
147,0.39677173006013966,2.389812217194477e+40
148,0.9474369671204214,4.654008656240542e+40
149,0.6986052922149931,7.905323733504573e+40
150,1.2241450190133984,1.75825864055626e+41
151,1.7082090846404214,4.761732023501981e+41
152,0.5690791796835909,7.471534577309573e+41
153,1.7018594558745477,2.0187036347597513e+42
154,0.8494235531294098,3.7334380489126333e+42
155,0.5952714866889799,5.955847266750061e+42
156,0.6724375944862673,9.960782875931082e+42
157,1.102577280313045,2.0943315769063924e+43
158,0.6028835896190614,3.3569697158442675e+43
159,0.06492765075998877,3.574929873166463e+43
160,1.3158062614730428,8.278844984605926e+43
161,0.8447608896867793,1.5272489439380559e+44
162,1.3377594637826988,3.5703406722433224e+44
163,0.36545817194366814,4.875150847537494e+44
164,0.9951100920643037,9.726462656257898e+44
165,0.6688518909758351,1.6232025596401837e+45
166,1.6372760038653624,4.2808331599518914e+45
